SEF	1.0.0
ID	MichipocotonCanada
Name	Michipocoton
Lat	47.99
Lon	275.23
Alt	201
Source	ODR
Link	https://opendatarescue.org
Vbl	nl
Stat	point
Unit	okta
Meta		UTCOffset=Applied	UTCOffset=5
Year	Month	Day	Hour	Minute	Period	Value	|	Meta
1860	11	29	02	00	0	8.00	|	orig=10 okta|Local time: 2100|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1860-11-01_OBS-F.jpg
1860	11	29	12	00	0	4.80	|	orig=6 okta|Local time: 0700|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1860-11-01_OBS-F.jpg
1860	11	29	19	00	0	4.80	|	orig=6 okta|Local time: 1400|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1860-11-01_OBS-F.jpg
1860	11	30	02	00	0	2.40	|	orig=3 okta|Local time: 2100|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1860-11-01_OBS-F.jpg
1860	11	30	12	00	0	3.20	|	orig=4 okta|Local time: 0700|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1860-11-01_OBS-F.jpg
1860	11	30	19	00	0	0.00	|	orig=0 okta|Local time: 1400|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1860-11-01_OBS-F.jpg
1860	12	01	02	00	0	1.60	|	orig=2 okta|Local time: 2100|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1860-11-01_OBS-F.jpg
1860	12	01	12	00	0	3.20	|	orig=4 okta|Local time: 0700|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1860-12-01_OBS-F.jpg
1860	12	01	19	00	0	3.20	|	orig=4 okta|Local time: 1400|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1860-12-01_OBS-F.jpg
1860	12	02	02	00	0	1.60	|	orig=2 okta|Local time: 2100|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1860-12-01_OBS-F.jpg
1860	12	02	12	00	0	0.00	|	orig=0 okta|Local time: 0700|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1860-12-01_OBS-F.jpg
1860	12	02	19	00	0	0.00	|	orig=0 okta|Local time: 1400|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1860-12-01_OBS-F.jpg
1860	12	03	02	00	0	0.00	|	orig=0 okta|Local time: 2100|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1860-12-01_OBS-F.jpg
1860	12	03	12	00	0	4.80	|	orig=6 okta|Local time: 0700|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1860-12-01_OBS-F.jpg
1860	12	03	19	00	0	3.20	|	orig=4 okta|Local time: 1400|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1860-12-01_OBS-F.jpg
1860	12	04	02	00	0	8.00	|	orig=10 okta|Local time: 2100|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1860-12-01_OBS-F.jpg
1860	12	04	12	00	0	8.00	|	orig=10 okta|Local time: 0700|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1860-12-01_OBS-F.jpg
1860	12	04	19	00	0	0.00	|	orig=0 okta|Local time: 1400|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1860-12-01_OBS-F.jpg
1860	12	05	02	00	0	0.00	|	orig=0 okta|Local time: 2100|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1860-12-01_OBS-F.jpg
1860	12	05	12	00	0	4.80	|	orig=6 okta|Local time: 0700|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1860-12-01_OBS-F.jpg
1860	12	05	19	00	0	3.20	|	orig=4 okta|Local time: 1400|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1860-12-01_OBS-F.jpg
1860	12	06	02	00	0	8.00	|	orig=10 okta|Local time: 2100|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1860-12-01_OBS-F.jpg
1860	12	06	12	00	0	6.40	|	orig=8 okta|Local time: 0700|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1860-12-01_OBS-F.jpg
1860	12	06	19	00	0	8.00	|	orig=10 okta|Local time: 1400|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1860-12-01_OBS-F.jpg
1860	12	07	02	00	0	8.00	|	orig=10 okta|Local time: 2100|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1860-12-01_OBS-F.jpg
1860	12	07	12	00	0	0.00	|	orig=0 okta|Local time: 0700|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1860-12-01_OBS-F.jpg
1860	12	07	19	00	0	0.00	|	orig=0 okta|Local time: 1400|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1860-12-01_OBS-F.jpg
1860	12	08	02	00	0	0.00	|	orig=0 okta|Local time: 2100|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1860-12-01_OBS-F.jpg
1860	12	08	12	00	0	3.20	|	orig=4 okta|Local time: 0700|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1860-12-01_OBS-F.jpg
1860	12	08	19	00	0	0.00	|	orig=0 okta|Local time: 1400|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1860-12-01_OBS-F.jpg
1860	12	09	02	00	0	0.00	|	orig=0 okta|Local time: 2100|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1860-12-01_OBS-F.jpg
1860	12	09	12	00	0	0.00	|	orig=0 okta|Local time: 0700|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1860-12-01_OBS-F.jpg
1860	12	09	19	00	0	2.40	|	orig=3 okta|Local time: 1400|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1860-12-01_OBS-F.jpg
1860	12	10	02	00	0	1.60	|	orig=2 okta|Local time: 2100|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1860-12-01_OBS-F.jpg
1860	12	10	12	00	0	4.80	|	orig=6 okta|Local time: 0700|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1860-12-01_OBS-F.jpg
1860	12	10	19	00	0	0.00	|	orig=0 okta|Local time: 1400|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1860-12-01_OBS-F.jpg
1860	12	11	02	00	0	0.00	|	orig=0 okta|Local time: 2100|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1860-12-01_OBS-F.jpg
1860	12	11	12	00	0	3.20	|	orig=4 okta|Local time: 0700|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1860-12-01_OBS-F.jpg
1860	12	11	19	00	0	4.00	|	orig=5 okta|Local time: 1400|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1860-12-01_OBS-F.jpg
1860	12	12	02	00	0	8.00	|	orig=10 okta|Local time: 2100|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1860-12-01_OBS-F.jpg
1860	12	12	12	00	0	3.20	|	orig=4 okta|Local time: 0700|QC flag: None|Image File: Michipocoton_USSI-206_M1958_1860-12-01_OBS-F.jpg
