"stationName","latitude","longitude","elevation","timeZone","UTCoffset","WMOID","MSCID"
"SteAnne","47.4","-70.08","53","America/Montreal","5","71713","7054096"
"Short_Name","What","Material","Error","Units","Seasonality","Data_Type","Detail","Method","Data_Format","Additional_Information"
"atb","temperature","atmospheric material",NA,"C","sub-daily","instrumental","original_observation","field method","n",NA
"cd","wind direction","atmospheric material",NA,"degrees","sub-daily","historical","original_observation","field method","n",NA
"cv","wind speed","atmospheric material",NA,"okta","sub-daily","historical","original_observation","field method","n",NA
"dd","wind direction","atmospheric material",NA,"degrees","sub-daily","historical","original_observation","field method","n",NA
"e","specific humidity","atmospheric material",NA,"hPa","sub-daily","instrumental","original_observation","field method","n",NA
"hd","wind direction","atmospheric material",NA,"degrees","sub-daily","historical","original_observation","field method","n",NA
"p","surface pressure","atmospheric material",NA,"hPa","sub-daily","instrumental","original_observation","field method","n",NA
"pr","precipitation","precipitation",NA,"mm","sub-daily","instrumental","original_observation","field method","n",NA
"ptb","hour","precipitation",NA,"hh:mm","sub-daily","historical","original_observation","field method","n",NA
"pte","hour","precipitation",NA,"hh:mm","sub-daily","historical","original_observation","field method","n",NA
"rh","relative humidity","atmospheric material",NA,"%","sub-daily","instrumental","original_observation","field method","n",NA
"sd","snowfall","precipitation",NA,"cm","sub-daily","instrumental","original_observation","field method","n",NA
"ta","air temperature","atmospheric material",NA,"C","sub-daily","instrumental","original_observation","field method","n",NA
"ta_mean","air temperature","atmospheric material",NA,"C","daily","instrumental","mean","computational method","n",NA
"tb","humidity","atmospheric material",NA,"C","sub-daily","instrumental","original_observation","field method","n",NA
"tdb","temperature","atmospheric material",NA,"C","sub-daily","instrumental","original_observation","field method","n",NA
"w","wind speed","atmospheric material",NA,"mps","sub-daily","instrumental","original_observation","field method","n",NA
"ObservationDate","atb","cd","cv","dd","e","hd","p","pr","ptb","pte","rh","sd","ta","ta_mean","tb","tdb","w"
1866-11-10,NA,NA,NA,NA,NA,NA,NA,NA,"empty","noon",NA,NA,NA,NA,NA,NA,NA
1866-11-10 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1866-11-10 14:00:00,NA,NA,NA,NA,NA,NA,1006.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1866-11-10 21:00:00,NA,NA,NA,NA,NA,NA,1011.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1866-11-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1866-11-11 07:00:00,NA,NA,NA,45,NA,NA,1015.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
1866-11-11 14:00:00,NA,NA,0,45,NA,NA,1014.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
1866-11-11 21:00:00,NA,NA,NA,45,NA,NA,1013.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
1866-11-12,NA,NA,NA,NA,NA,NA,NA,0.635,"last night","6pm",NA,6.35,NA,NA,NA,NA,NA
1866-11-12 07:00:00,NA,180,1,135,NA,NA,1009.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
1866-11-12 14:00:00,NA,270,2,225,NA,NA,1007.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
1866-11-12 21:00:00,NA,NA,2,270,NA,"270",1009.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
1866-11-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.06,NA,NA,NA
1866-11-13 07:00:00,NA,315,2,315,NA,NA,1017.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
1866-11-13 14:00:00,17.5,270,1,315,NA,NA,1017.78,NA,NA,NA,NA,NA,5,NA,NA,NA,2
